ticker,cash,value,SharpeRatio,DrawDown
ISRG,953389,953389,-0.15,37.39%
NVR,115865,1206914,0.29,13.88%
DVN,940266,940266,-0.3,22.53%
MRO,1494122,1494122,0.64,21.75%
TER,579504,579504,-1.14,45.34%
PODD,1447564,1447564,0.32,31.37%
V,236014,3107453,1.19,13.21%
ENPH,560087,560087,-1.45,60.57%
CDNS,101276,1112799,0.12,20.94%
MSCI,75761,1085953,0.11,40.39%
CHTR,204273,2213781,0.6,28.4%
AJG,130304,1362799,0.39,22.47%
CF,136027,1744766,1.03,32.15%
APH,1486587,1486587,0.49,25.07%
MSI,1066077,1066077,0.05,21.06%
ADM,984603,984603,-0.0,28.27%
BAC,148933,1516977,0.5,25.43%
TECH,94040,1080809,0.09,29.56%
DXC,126967,1406910,0.37,21.4%
ADBE,139955,1627657,0.44,28.94%
STLD,852196,852196,-0.12,32.65%
CPRT,105792,1057263,0.04,31.01%
TDG,87961,3030040,1.0,27.35%
GNRC,2244241,2244241,0.54,33.21%
NOW,130248,1633997,0.66,33.46%
LLY,120667,2107030,0.86,16.97%
COST,148210,1615950,1.0,15.08%
ZBRA,146290,2252645,0.76,29.8%
ACGL,155260,1968250,0.99,16.77%
MPC,128327,1673313,0.76,29.79%
BR,92022,2132447,0.61,13.24%
STX,1691180,1691180,0.37,39.23%
NOC,98690,2511034,0.77,16.89%
NASDAQ,1117186,1117186,0.67,5.88%
ABBV,109085,1317517,1.34,18.42%
INTU,85670,1729461,1.05,15.77%
PAYC,103822,1277435,0.93,13.94%
CMA,1131801,1131801,0.13,20.69%
CAT,1134263,1134263,0.19,26.4%
ODFL,3278314,3278314,1.11,22.52%
AMZN,137581,1698237,0.48,23.94%
CSGP,206405,2959430,0.65,30.97%
PWR,1041617,1041617,0.03,26.11%
BBWI,179582,2656572,1.63,22.37%
DXCM,146773,3042185,0.52,37.97%
TXN,1518469,1518469,0.44,22.21%
VRSK,158329,1909980,0.86,16.05%
OXY,963317,963317,-0.29,23.5%
FTNT,84295,1578665,0.49,55.68%
DHI,149791,1771957,0.53,27.48%
ADSK,1431649,1431649,0.52,21.62%
MSFT,105353,1069447,0.09,23.39%
ANSS,86766,1000011,-0.03,21.83%
CTAS,81312,2509662,1.02,19.77%
BIO,102819,1072269,0.06,22.14%
CTLT,103693,973525,-1.76,9.25%
AME,171308,1796790,0.61,20.75%
ACN,109819,1428072,0.64,31.36%
CMG,226574,2539413,0.72,29.54%
SHW,2568485,2568485,0.73,13.18%
AMAT,1457443,1457443,0.33,24.01%
DE,94293,1005147,-0.09,29.51%
AMD,582888,582888,-1.26,45.29%
KLAC,1486219,1486219,0.43,27.94%
URI,2508654,2508654,0.91,41.98%
NXPI,191858,2522878,0.76,32.14%
PNC,112446,1235799,0.27,19.1%
MTCH,183549,2323754,0.82,28.0%
NVDA,877886,877886,-0.13,36.3%
IDXX,1267516,1267516,0.29,28.16%
HD,168033,2410119,0.93,16.56%
ALB,941112,941112,-0.13,39.11%
VLO,118276,1609097,0.44,27.1%
ZTS,101653,1450793,1.11,15.07%
FDX,1260883,1260883,0.23,33.31%
TYL,291243,4455023,0.83,34.18%
SCHW,138768,1513000,0.32,31.41%
AMP,1973008,1973008,0.46,24.84%
ROK,154698,1681371,0.7,21.46%
PTC,117836,1197066,0.19,35.62%
NSC,1078325,1078325,0.08,34.05%
MTD,145007,1913274,1.28,25.84%
ITW,176947,1759671,0.68,16.41%
SPGI,177854,2279212,1.6,21.26%
EL,148534,1678781,0.71,24.21%
MCO,174857,1962751,0.7,37.02%
MPWR,2083008,2083008,0.77,24.54%
CBRE,109562,1361512,0.45,40.35%
ETN,1542036,1542036,0.46,24.42%
ALGN,126973,1483637,0.34,32.97%
NFLX,350512,6438962,0.59,26.73%
LEN,148569,1592998,0.32,29.27%
FITB,101138,1047268,0.07,23.22%
WST,187367,2526733,0.71,17.97%
GWW,1279231,1279231,0.27,29.19%
TRGP,2224501,2224501,0.65,31.42%
FICO,114140,1867521,0.76,24.89%
AXON,175625,3800922,1.16,36.06%
JPM,114940,1289628,0.3,22.57%
TSLA,513119,6111623,0.52,37.0%
COP,1325254,1325254,0.4,30.47%
DHR,80403,1374888,0.38,24.47%
TXT,805731,805731,-0.27,43.93%
ROL,114254,1623094,0.58,25.41%
GOOGL,105288,1311670,0.25,27.96%
BRO,120785,1303810,0.42,19.91%
DRI,69690,1015805,0.0,43.71%
META,105388,2455380,1.52,20.79%
MMC,96715,1929892,0.78,22.55%
POOL,168178,2139997,0.8,25.42%
CZR,92805,1078198,0.74,4.1%
ORLY,119536,3175385,1.17,28.42%
SNPS,117542,1485467,0.67,14.18%
GOOG,118464,1364513,0.29,22.95%
EPAM,130271,2427305,1.05,27.06%
LYV,163760,1722275,0.36,27.04%
AVGO,127583,4862501,1.08,24.78%
FSLR,826322,826322,-0.28,43.98%
TEL,1840868,1840868,0.63,20.95%
ON,481860,481860,-0.81,58.54%
RSG,107191,1102899,0.11,24.97%
TRMB,1215762,1215762,0.31,34.74%
MS,122432,1683083,0.44,18.48%
CSX,1271638,1271638,0.27,30.42%
ZION,82640,869641,-0.08,31.73%
RJF,85897,925088,-0.15,27.83%
UNH,92684,2063198,0.93,35.24%
TTWO,123922,1251359,0.22,37.63%
TT,191421,2268351,0.73,21.86%
TGT,111089,1539997,0.94,15.15%
AAPL,152216,2683197,1.88,26.44%
GRMN,1287465,1287465,0.65,27.34%
BX,143673,1977471,0.41,41.4%
NTAP,685653,685653,-0.79,42.73%
CRL,132238,1477075,0.51,22.1%
MU,2655298,2655298,0.43,25.28%
CDW,1022337,1022337,-0.17,13.9%
DOV,1320265,1320265,0.28,18.24%
CRM,78874,941593,-0.08,35.24%
PGR,114800,1382269,0.42,15.41%
LRCX,156326,1666138,0.5,24.88%
BLK,147034,1433149,0.33,24.05%
