ticker,cash,value,sharpeRatio,drawDown,bonusRatio
NVDA,95677759,95677759,0.79,32.33,9467.78%
TSLA,5811298,46668418,0.36,60.02,4566.84%
NFLX,1738389,23355372,0.52,35.1,2235.54%
ENPH,19810429,19810429,0.38,54.94,1881.04%
EPAM,14733640,14733640,0.77,26.93,1373.36%
DXCM,1113350,13122941,0.62,36.21,1212.29%
WST,926709,10784646,0.72,18.41,978.46%
POOL,9591301,9591301,0.94,22.43,859.13%
TYL,976376,9463625,0.66,25.38,846.36%
AXON,9343195,9343195,0.73,34.04,834.32%
TDG,645102,8246505,0.74,29.57,724.65%
AAPL,637001,7852020,0.68,28.2,685.20%
AMAT,761834,7814532,0.62,38.07,681.45%
GNRC,7416309,7416309,0.49,46.69,641.63%
MPWR,588800,7264650,0.69,38.92,626.46%
MCO,559760,7251601,0.87,25.34,625.16%
AMD,577254,7079834,0.39,48.05,607.98%
AVGO,6989649,6989649,0.67,35.23,598.96%
SPGI,588087,6558219,0.95,22.45,555.82%
CDNS,488069,6409143,0.61,25.82,540.91%
NOC,6205847,6205847,0.8,18.51,520.58%
CTAS,575750,6111638,0.88,24.1,511.16%
HD,625020,5826849,0.73,21.56,482.68%
CHTR,5749826,5749826,0.58,35.16,474.98%
LRCX,5659055,5659055,0.6,31.11,465.91%
MU,614016,5580462,0.4,41.53,458.05%
SNPS,418486,5466881,0.58,24.59,446.69%
CSGP,483549,5416882,0.51,37.76,441.69%
ADBE,5311718,5311718,0.6,23.59,431.17%
BX,5223930,5223930,0.44,34.28,422.39%
ALGN,498780,5191049,0.47,38.73,419.10%
MSFT,412125,5084369,0.66,24.77,408.44%
CPRT,286777,4662491,0.59,39.75,366.25%
TRGP,405188,4576066,0.49,30.37,357.61%
META,359716,4459297,0.66,29.46,345.93%
AMZN,418238,4456594,0.47,29.31,345.66%
BR,397880,4358032,0.61,19.78,335.80%
ODFL,369557,4315314,0.52,37.6,331.53%
MRNA,4307085,4307085,0.35,41.38,330.71%
MPC,412333,4267605,0.55,37.51,326.76%
SHW,387988,4228126,0.53,24.09,322.81%
IDXX,336148,4130110,0.55,36.75,313.01%
NOW,3944129,3944129,0.46,32.3,294.41%
UNH,372869,3936921,0.77,29.73,293.69%
FICO,265751,3916200,0.52,46.61,291.62%
MSCI,3880784,3880784,0.46,42.66,288.08%
TT,347094,3876465,0.58,19.09,287.65%
ZBRA,3737916,3737916,0.6,36.29,273.79%
ACGL,278090,3675097,0.74,22.81,267.51%
MTD,3612647,3612647,0.6,33.72,261.26%
GOOGL,244840,3595983,0.48,20.86,259.60%
URI,261243,3590030,0.51,50.26,259.00%
DXC,3571066,3571066,0.45,30.36,257.11%
SEDG,3562327,3562327,0.3,74.71,256.23%
MS,3514949,3514949,0.49,22.72,251.49%
LLY,272768,3422148,0.52,30.07,242.21%
VLO,3407235,3407235,0.6,35.81,240.72%
MMC,311066,3401191,0.61,19.09,240.12%
GRMN,313083,3360755,0.63,24.76,236.08%
PODD,3348068,3348068,0.42,37.61,234.81%
V,321593,3339353,0.48,28.73,233.94%
TTWO,304523,3328827,0.36,41.45,232.88%
GOOG,228829,3323764,0.44,21.05,232.38%
DHI,264654,3315724,0.44,31.9,231.57%
FTNT,247164,3315145,0.38,52.81,231.51%
PWR,258268,3304603,0.49,29.96,230.46%
CZR,3264283,3264283,0.42,33.87,226.43%
AMP,290057,3259627,0.39,35.57,225.96%
INTU,272125,3237914,0.47,29.36,223.79%
ORLY,291973,3219789,0.58,26.66,221.98%
COST,294343,3185746,0.56,29.09,218.57%
BRO,281577,3077392,0.51,27.91,207.74%
MTCH,3059738,3059738,0.39,37.71,205.97%
DHR,3040567,3040567,0.48,23.57,204.06%
AJG,258095,3032768,0.59,23.16,203.28%
PYPL,3012970,3012970,0.35,28.64,201.30%
ISRG,223971,3006752,0.48,34.88,200.68%
ETN,240693,2895530,0.46,24.37,189.55%
BIO,2891409,2891409,0.52,20.79,189.14%
LYV,274904,2852373,0.33,33.03,185.24%
ROK,246355,2805470,0.47,27.36,180.55%
CDW,276983,2763419,0.4,23.66,176.34%
STX,2727231,2727231,0.34,36.69,172.72%
AME,213058,2708205,0.44,24.42,170.82%
ZTS,2661364,2661364,0.47,24.43,166.14%
LW,221493,2634044,0.68,13.36,163.40%
PGR,2606778,2606778,0.43,17.25,160.68%
LEN,207383,2569101,0.32,39.66,156.91%
TEL,232728,2546638,0.4,28.89,154.66%
ADM,2539509,2539509,0.47,21.99,153.95%
TGT,2531469,2531469,0.42,28.12,153.15%
ITW,237564,2508308,0.54,19.23,150.83%
CBRE,229648,2473868,0.38,40.09,147.39%
ADSK,224823,2466842,0.34,33.89,146.68%
RSG,223619,2431666,0.42,28.77,143.17%
TXN,252456,2431596,0.42,26.21,143.16%
SCHW,2426977,2426977,0.32,30.58,142.70%
PNC,2411070,2411070,0.48,23.9,141.11%
MSI,210171,2405490,0.41,33.1,140.55%
NXPI,211745,2398890,0.34,41.47,139.89%
EL,2388980,2388980,0.39,22.59,138.90%
ACN,240361,2378970,0.43,25.12,137.90%
BLK,225238,2376195,0.38,22.32,137.62%
DOV,226285,2316904,0.38,21.17,131.69%
APH,209484,2285567,0.45,22.68,128.56%
CRL,2264930,2264930,0.36,32.38,126.49%
BAC,2261617,2261617,0.37,32.05,126.16%
ETSY,2242951,2242951,0.3,46.22,124.30%
MRO,2228094,2228094,0.31,32.46,122.81%
VRSK,198934,2212618,0.42,30.64,121.26%
PAYC,2186746,2186746,0.3,34.99,118.67%
FSLR,196483,2162908,0.29,43.4,116.29%
STLD,218982,2146062,0.32,32.36,114.61%
ANET,187847,2143198,0.25,43.44,114.32%
CMA,2118711,2118711,0.33,29.23,111.87%
PTC,197292,2113591,0.31,42.22,111.36%
BBWI,2111361,2111361,0.31,42.42,111.14%
GWW,2088204,2088204,0.38,38.77,108.82%
FDX,4392,2085864,0.32,29.65,108.59%
DVN,2005546,2005546,0.21,38.82,100.55%
CSX,191434,1987066,0.31,33.36,98.71%
ABBV,1976928,1976928,0.32,29.03,97.69%
ALB,1926409,1926409,0.25,50.7,92.64%
KEYS,188657,1919940,0.29,32.79,91.99%
ANSS,181496,1913750,0.28,34.26,91.37%
KLAC,173472,1899442,0.28,38.1,89.94%
NSC,1867651,1867651,0.32,34.51,86.77%
CTLT,1838187,1838187,0.24,33.08,83.82%
COP,177977,1833263,0.27,31.36,83.33%
CRM,147761,1827275,0.3,36.16,82.73%
CAT,151782,1815130,0.25,31.27,81.51%
TXT,1701094,1701094,0.26,31.25,70.11%
FITB,1691899,1691899,0.24,30.06,69.19%
TECH,1618378,1618378,0.23,42.71,61.84%
JPM,142025,1603584,0.26,32.49,60.36%
TER,134850,1599001,0.2,52.43,59.90%
CF,1477596,1477596,0.19,39.53,47.76%
TRMB,1471287,1471287,0.18,42.89,47.13%
RJF,1455225,1455225,0.17,33.54,45.52%
OXY,1330483,1330483,0.16,28.32,33.05%
ROL,108612,1314129,0.14,47.89,31.41%
ON,122231,1286270,0.17,56.8,28.63%
DE,108272,1281177,0.12,42.43,28.12%
NVR,1280048,1280048,0.14,21.42,28.00%
CMG,123698,1256001,0.12,39.43,25.60%
DRI,109173,1213312,0.09,42.28,21.33%
NASDAQ,1204576,1204576,0.12,7.85,20.46%
NTAP,95766,1096790,0.06,48.01,9.68%
ZION,994914,994914,0.03,41.05,-0.51%